authorMeta/fans,authorMeta/name,collectCount,commentCount,createTimeISO,diggCount,isSponsored,locationMeta/city,locationMeta/locationName,shareCount,text,videoMeta/duration,webVideoUrl,playCount,brand,hour,day
21100,kangbarbershop,1,2,2025-04-26 09:39:08+00:00,250,False,Jakarta,Kopi Janji Jiwa & Jiwa Toast - All Season Thamrin,2,"Beli kopi janji jiwa pakai kode voucher di tag lokasi video ini dapat harga di bawah 15rb an aja guys
@Kopi Janji Jiwa 
#janjijiwa #janjijiwacoffee #janjijiwapromo #kopijanjijiwa ",29,https://www.tiktok.com/@kangbarbershop/video/7497554075538427141,13400,Janji Jiwa,9,Saturday
1588,teyaeee,40,8,2025-06-20 04:08:50+00:00,246,False,Purworejo,Kopi Janji Jiwa & Jiwa Toast - Ruko Mayjen Soetoyo Purworejo,15,#purworejo #tiktokviral #kutoarjo #janjijiwa #janjijiwatoast #janjijiwacoffee #janjijiwapromo ,0,https://www.tiktok.com/@teyaeee/video/7517878650583207176,42400,Janji Jiwa,4,Friday
1009,tami.time,3,0,2025-05-30 15:30:04+00:00,244,False,Purworejo,Kopi Janji Jiwa & Jiwa Toast - Ruko Mayjen Soetoyo Purworejo,2,"ngga sengaja lihat mas-nya joget sambil beresin toko, ga sadar aku videoin 😁 lucu bgt sumpah 😭☕️
Thank you mas barista, moodbooster beneran🙌🏻

#janjijiwa #purworejo #janjijiwatoast #janjijiwacoffee #promojanjijiwa ",11,https://www.tiktok.com/@tami.time/video/7510261411696610616,5449,Janji Jiwa,15,Friday
16900,vilya_ayya,26,5,2025-04-28 02:20:28+00:00,242,False,Pasuruan Regency,Kopi Janji Jiwa & Jiwa Toast - Taman Dayu Pasuruan,13,Gak pake mahal kalo belinya pake voucher tiktok 😋 #kopi #janjijiwa #janjijiwatoast #janjijiwacoffee #janjijiwatamandayu #janjijiwamalang #kuliner #kulinertiktok #promojanjijiwa #promojanjijiwatoast ,11,https://www.tiktok.com/@vilya_ayya/video/7498183031723691265,27300,Janji Jiwa,2,Monday
9399,trisna3908,15,12,2025-05-13 08:56:06+00:00,240,False,Bekasi Regency,Kopi Janji Jiwa & Jiwa Toast - Ruko Metland Cibitung,22,"Jangan lupa pake voucher tiktok biar dapet harga promo

#janjijiwatoast #janjijiwacoffee #janjijiwatiktok #tiktokgo ",7,https://www.tiktok.com/@trisna3908/video/7503851424183274807,12900,Janji Jiwa,8,Tuesday
4356,anhykaimudin,8,0,2024-10-09 09:46:21+00:00,236,False,Unknown,Unknown,0,"Pokokx tdk di Baubau tdk di KDI pasti yg di cari makanan 😁😁😁
mkx Z gemoy kan Z di kasih makan 
emang situ hx di ingatin makan doank😁
upssssss 🤭🤭🤭🤭😝😝😝🤪🤪🤣🤣🤣
#carolcafe 
#mamahotplate 
#janjijiwacoffee 
#semiracaffe 
#rotiO 
#cafebakaukendari #rumahmakansrikandisefood #lavanya 
#telukkendari❤️ ",9,https://www.tiktok.com/@anhykaimudin/video/7423709955439561990,2399,Janji Jiwa,9,Wednesday
8965,anandaputri6098,2,13,2023-12-31 04:27:44+00:00,235,False,Morowali Regency,Bahodopi,0,"Kiuw2😂
#janjijiwacoffee 
#fyp 
#cewek barista outfit 
#morowali_sulteng_bahodopi 
#barista ",14,https://www.tiktok.com/@anandaputri6098/video/7318610771456396550,3305,Janji Jiwa,4,Sunday
4286,koalabrenda,13,25,2025-04-04 04:55:49+00:00,234,False,Jakarta,Kopi Janji Jiwa & Jiwa Toast - Pejaten Village,59,@janjijiwaid diskon 32% hanya di TikTok. Cus serbu voucher diskonnya biar bisa ngopi dengan super hemat! #JelajahLebaran #janjijiwa #kopijanjijiwa #janjijiwatoast #janjijiwacoffee #promojanjijiwa #vouchertiktok #hanyaditiktok #lebaranditiktok #nexjanjijiwa ,15,https://www.tiktok.com/@koalabrenda/video/7489316949252525313,2307,Janji Jiwa,4,Friday
31100,annisanuuu,22,0,2025-03-15 02:28:04+00:00,215,False,Bogor City,Kopi Janji Jiwa & Jiwa Toast - Ruko DR Semeru,5,"SPECIAL RAMADHAN, KOPI SUSU KARAMEL JANJI JIWA CUMA 10RB PERCUPNYA 👀

Caranya klik tag lokasi yang ada di video ini, pilih & beli voucher JANJI JIWA yang kalian inginkan. Jangan lupa tukarkan voucher ke outlet JANJI JIWA yang memenuhi syarat. 

BURUAN CHECKOUT VOUCHER JANJI JIWA  SEKARANG, PAYMENT DAPAT MELALUI GoPay, VIRTUAL ACC, KARTU DEBIT/KREDIT, DANA. 

PROMO INI HANYA BERLAKU HINGGA 31 MARET 2025 

#JANJIJIWA #KopiSusuKaramel #PromoJANJIJIWA #DiskonJanjiJiwa #PlaceToGoNisu #JelajahRamadan #hacksandtips #DiskonTiktok #VoucherTiktok #tipshemat #promotiktok #tiktokviral #jelajahkuliner #JelajahBegah #ramadhan #festivalminumandingin #minumanviral #kopiviral #janjijiwacoffee #janjijiwatiktok #minumantiktok #jelajahdiskon #diskontiktok #ramadhan #janjijiwaid ",17,https://www.tiktok.com/@annisanuuu/video/7481857411578481927,44500,Janji Jiwa,2,Saturday
1217,madam_mochii,4,3,2025-07-30 13:36:25+00:00,215,False,Indramayu,"Kopi Janji Jiwa, Siliwangi Jatibarang",0,"PROMO JANJI JIWA KLIK LOKASI👇
#promojanjijiwa #promo #promokopi #janjijiwa #janjijiwacoffee ",23,https://www.tiktok.com/@madam_mochii/video/7532868322476428550,2361,Janji Jiwa,13,Wednesday
