authorMeta/fans,authorMeta/name,collectCount,commentCount,createTimeISO,diggCount,isSponsored,locationMeta/city,locationMeta/locationName,shareCount,text,videoMeta/duration,webVideoUrl,playCount,brand
31900,.hakimluqman2,3,2,13/05/2025 23.14,13,False,Semarang City,Kopi Janji Jiwa & Jiwa Toast - Woltermonginsidi,5,"Kopi Janji Jiwa adalah restoran yang menyediakan kopi dingin dan panas dengan dilengkapi roti yang banyak varian rasa,sehingga kita dapat menikmati kopi dan roti tersebut dengan hati yang tenang serta jiwa kita bisa mendapatkan rasa yang mantap di kopi janji jiwa!!!???
#kopijanjijiwa 
#tiktokgo 
#edukasitiktok 
#tiktokmarketing 
#kotasemarang 
#fyppppppppppppppppppppppp ",42,https://www.tiktok.com/@.hakimluqman2/video/7503964381097610503,540,Janji Jiwa
4852,kalemhyrruph,46,2,15/05/2025 19.20,169,False,Kota Karawang,Kopi Janji Jiwa & Jiwa Toast - Karawang Central Plaza,22,"Promo voucher Janji Jiwa ????
#promo #voucher #promotiktok #fyp #janjijiwacoffee #janjijiwa #janjijiwatoast #karawang #karawangcentralplaza ",13,https://www.tiktok.com/@kalemhyrruph/video/7504646206409248005,31400,Janji Jiwa
1637,avcd.26,10,0,15/07/2025 16.00,45,False,Wonogiri,Kopi Janji Jiwa & Jiwa Toast - Jendral Sudirman Wonogiri,8,jajan hemat teruss ini mah #wonogiri #wonogiri24jam #ngopi #tempatnongkrong #promotiktok #janjijiwacoffee #janjijiwa ,40,https://www.tiktok.com/@avcd.26/video/7527231017694792966,12700,Janji Jiwa
5487,novikurniawti,7,12,31/07/2025 12.38,53,False,Depok,Kopi Janji Jiwa & Jiwa Toast - Ruko Citayam Center,0,mantep sih cuma 16ribu ajaaa?? #janjijiwa #janjijiwatoast #janjijiwacoffee #promoseruweekend #promotiktok #fypdeh ,12,https://www.tiktok.com/@novikurniawti/video/7533116168987544837,7864,Janji Jiwa
1159,thovinna,0,0,22/05/2024 15.44,6,False,Unknown,Unknown,1,"Ice Latte Janji Jiwa @Kopi Janji Jiwa 

#janjijiwa #icelatte #tiktokcoffee ",6,https://www.tiktok.com/@thovinna/video/7371742189920980230,3895,Janji Jiwa
1115,heiaiii,1,1,06/04/2025 09.34,108,False,Blora,Kopi Janji Jiwa & Jiwa Toast - Cepu,12,"Pejamkan mata, bayangkan muka walid ??

#mieseblakprasmanan #seblakblora #seblakweru #seblakprasmananblora #seblakwerutemurejo  #seblakprasmanan #seblaksunda #seblak #walid #filmbidaah #janjijiwa #janjijiwatoast #janjijiwacoffee #janjijiwapromo ",16,https://www.tiktok.com/@heiaiii/video/7490022994492853512,9044,Janji Jiwa
5959,grenda_01,3,8,07/06/2025 21.23,22,False,Pemalang,Kopi Janji Jiwa & Jiwa Toast - Comal Jend Sudirman,13,"Cuma di tik tok bisa beli lebih murah harganya 
#janjijiwapemalang 
#kopijanjijiwa 
#toastjanjijiwa 
#bestie 
#coffeeshop 
#suksesbersamahurra 
#janjijiwatiktok ",30,https://www.tiktok.com/@grenda_01/video/7513212945296395526,1302,Janji Jiwa
1809,white_beat67,1,0,12/08/2023 00.56,8,False,Unknown,Temanggung,0,"the quiet temanggung...???

#motivasihidup #motivasi #coffeeshop #coffeetime
#coffeelovers #katahariini #ceritakehidupan #semangat #temanggung
#katakatamotivasi #nightmotivation
#janjijiwa #katakatabijak
#nightcoffee
#nightmotivation?? #kopiindonesia #reelsviral #semangatkerja #weekendvibes #motivasisukses ",40,https://www.tiktok.com/@white_beat67/video/7266125015706373381,508,Janji Jiwa
2925,benbenita12,2,2,07/08/2025 19.27,7,False,South Tangerang,Kopi Janji Jiwa & Jiwa Toast - Bintaro Sektor 9,1,"SPECIAL hari kemerdekaan Bulan Agustus beli janji jiwa lebih hemat lewat TikTok caranya: 
1. Klik tag lokasi aku
2. Pilih menu kamu
3. Pilih beli lakukan pembayaran
4. Mendapatkan barcode ditukarkan ke kasir

#bintaro #vouchertiktok #promojanjijiwa #janjijiwa #murah #vouchermakanan #viral #janjijiwacoffee #janjijiwatoast #promoagustus #promomakanan #food #jelajahbosslang #bosslang17an #freedomwithbosslang #promomakanmerdeka #promoseruweekend ",20,https://www.tiktok.com/@benbenita12/video/7535819165345615110,528,Janji Jiwa
2278,kang.review0,10,0,08/04/2025 13.53,100,False,Cirebon,Kopi Janji Jiwa & Jiwa Toast - Raya Ciledug,3,"Cara Biar Dapet Promo nya
- klik kode lokasi di kiri bawah
- Lakukan pembayaran
- Tunjukkan barcode pembayaran pada kasir#janjijiwamurah #janjijiwacoffee #kopijanjijiwa #janjijiwa ",15,https://www.tiktok.com/@kang.review0/video/7490831896113433874,24700,Janji Jiwa
617,dindaspallspill_,3,2,04/08/2025 15.47,30,False,Jakarta,"Kopi Janji Jiwa, Jiwa Toast & Jiwa Tea - Citra 6",3,Sekarang jangan khawatir dompet boncos karna tiap hari beli coffee. Karna dengan beli voucher di tag lokasi bisa lebih hematt ?? #janjijiwa #coffee #tigerwonggo ,32,https://www.tiktok.com/@dindaspallspill_/video/7534649223262850360,1545,Janji Jiwa
12700,petrikcantik,36,0,14/07/2025 12.13,102,False,Malang City,Kopi Janji Jiwa & Jiwa Toast - Terusan Borobudur Malang,11,"bisa klaim di semua outlet janji jiwa loh, gaskeun sekarang mumpung promonya masih ada caranya klik tag lokasi yuhuu#promotiktok #vouchertiktok #tiktokgoschoolholidayfest #goalscreatorchallange #meago #promomakanliburan #tungtungmakanuntungmea #janjijiwa #janjijiwacoffee #janjijiwatoast ",0,https://www.tiktok.com/@petrikcantik/video/7526801248218025221,27200,Janji Jiwa
21100,tempat.untuk.pergi,10,6,11/03/2025 02.41,135,False,Jakarta,Kopi Janji Jiwa & Jiwa Toast - Setiabudi,13,"??JANGAN BELI JANJI JIWA OTS LAGI!??

Beli harus dari tag lokasi tiktok duluu!! Karena promonya gila gilaan! Kopi hazelnut @Kopi Janji Jiwa jadi cuma ceban doaang!! Gila gilaa! Cus beliii 

??JANJI JIWA 

#janjijiwa #kopi #coffee #vouchertiktok #promo #JelajahRamadan #jelajahkuliner #jelajahbegah #ttpetualangnewbie #ttpetualangpro #rekomendasi #mauditemenin #fyp ",17,https://www.tiktok.com/@tempat.untuk.pergi/video/7480268238215974149,24900,Janji Jiwa
58000,racunsiamma,3,0,07/08/2025 13.09,24,False,Bandung Regency,Kopi Janji Jiwa & Jiwa Toast - Thee Matic Mall,0,#jelajahbegahmula #tiktokgo #janjijiwa #janjijiwacoffee #viral #hazelnut #coffee ,15,https://www.tiktok.com/@racunsiamma/video/7535721768607173893,1335,Janji Jiwa
7226,alitiashop,3,0,06/08/2025 08.48,13,False,Jakarta,Kopi Janji Jiwa & Jiwa Toast - Citra 2,0,"kapan lagi, langsung otw ??
#janjijiwa #janjijiwacoffee #promojanjijiwa #tiktokvoucher ",10,https://www.tiktok.com/@alitiashop/video/7535283536669068560,1465,Janji Jiwa
4857,diannuurmala,10,4,07/05/2025 06.56,84,False,Bogor Regency,Kopi Janji Jiwa & Jiwa Toast - Ruko Pasirkuda,6,"Beli 2cup kopi janji jiwa cuma 20ribuan?? kapan lagi sih mending segera beli vouchernya.

#JelajahHepi #jelajahbegah #promomakangajian #promogajian #promotiktok #promojanjijiwa #janjijiwa #kopijanjijiwa #ngopi #coffee #coffeetiktok ",18,https://www.tiktok.com/@diannuurmala/video/7501485893010705671,20300,Janji Jiwa
42700,leoo_kucing,4,0,15/06/2025 19.26,38,False,Banyumas Regency,Kopi Janji Jiwa & Jiwa Toast - Rita Supermall,2,Beli lewat lokasi yang aku kasih dapet banyak promonya makanya cuss buruan nih keburu promonya abiss #fyp #viral #foryou #foryoupage #purwokerto #janjijiwacoffee #janjijiwa ,14,https://www.tiktok.com/@leoo_kucing/video/7516151519301930246,10800,Janji Jiwa
1092,donysalena11,0,0,20/05/2025 12.59,2,False,Bekasi City,Kopi Janji Jiwa & Jiwa Toast - Raya Hankam,0,"Santai dulu yukk, 

Sambil antri pertamax dibalikpapan 
#fyp #janjijiwa #kopi #coffee #bekasi #rayahankam  #ngopi #tiktok #tiktokgo #afiliate ",10,https://www.tiktok.com/@donysalena11/video/7506403606321564946,902,Janji Jiwa
45600,kevinsikokobandung,30,6,26/01/2025 09.25,543,False,Tangerang Regency,Kopi Janji Jiwa & Jiwa Toast - Ruko Icon BSD,14,"HAYOOO KALIAN LAGI PADA GAJIAN YA?!! COBAIN NONGKRONG DI KOPI JANJI JIWA AJA!! START MENU NYA CUMA DARI 10 RIBUAN AJA LOH!! 
JANGAN LUPA JUGA, BELI NYA DARI VIDEO KOKO AJA YA!! HEHE
CARANYA CUKUP KLIK LINK TAG LOCATION WARNA HIJAU DARI VIDEO KOKO! JANGAN SAMPE KELEWAT YA!!!

#janjijiwa #kopijanjijiwa #toastjanjijiwa #kopisusu #coffee #noncoffee #jelajahgajian #jelajahbegah #ttpetualangnewbie #promojanjijiwa #diskonjanjijiwa #kopi #janjijiwacoffee #janjijiwapromo ",16,https://www.tiktok.com/@kevinsikokobandung/video/7464044659627609349,55700,Janji Jiwa
2042,dewi_case,6,4,27/06/2025 15.02,113,False,Cianjur,Kopi Janji Jiwa & Jiwa Toast - Ruko Cipanas,2,"sama temen.. pasangan atau... 
asal jangan suami orang ??
tag lokasi buat dapet in diskon nya 
#masukberandafyp? #4U #janjijiwacoffee #cipanas ",0,https://www.tiktok.com/@dewi_case/video/7520536413339716920,7371,Janji Jiwa
6283,ignangilawane,13,4,07/07/2025 20.13,136,False,Surabaya,Kopi Janji Jiwa & Jiwa Toast - Kanna Stay,11,"Cuma 50rb sudah bisa dapat menu sebanyak ini di Janji Jiwa ??

#tiktokgoschoolhollydayfest #janjijiwa #jajanantiktok #jajananviral #jajanmurah #janjijiwacoffee #fyp #fyp? ",28,https://www.tiktok.com/@ignangilawane/video/7524327558570282245,9531,Janji Jiwa
3437,nyaicuan08,1,0,18/05/2025 09.37,4,False,Pekalongan,Kopi Janji Jiwa & Jiwa Toast - Transmart Pekalongan,0,"ngopi dulu yuk, di kopi janji jiwa transmart pekalongan
#kopijanjijiwa 
#janjijiwa 
#janjijiwacoffee 
#jelajahhepi ",31,https://www.tiktok.com/@nyaicuan08/video/7505609298337139975,456,Janji Jiwa
1180,lestari_ruslan,0,0,27/07/2025 14.21,10,False,Purworejo,Kopi Janji Jiwa & Jiwa Toast - Ruko Mayjen Soetoyo Purworejo,0,#janjijiwa #alunalunpurworejo #coffe ,22,https://www.tiktok.com/@lestari_ruslan/video/7531658349264260370,506,Janji Jiwa
22800,yud.explore,7,1,06/04/2025 09.34,94,False,Jakarta,Kopi Janji Jiwa & Jiwa Toast - Apartemen Laguna,0,#janjijiwacoffee #janjijiwa ,21,https://www.tiktok.com/@yud.explore/video/7490023048133741831,5106,Janji Jiwa
