authorMeta/fans,authorMeta/name,collectCount,commentCount,createTimeISO,diggCount,isSponsored,locationMeta/city,locationMeta/locationName,shareCount,text,videoMeta/duration,webVideoUrl,playCount,brand
3302,mainsamacitaw,8,0,29/03/2025 12.45,120,False,Jakarta,Kopi Janji Jiwa & Jiwa Toast - Mall Citraland Jakarta,4,"Ngopi di mall modal 10K, yakali gak kuy. Cobain deh yang gk gt suka kopi pait pasti cocok sama variant ini. Klik lokasi warna ijo di video ya untuk claim promonya ?? #janjijiwa #kopi #coffee #promotiktok #jelajahramadhan #bukapuasa ",23,https://www.tiktok.com/@mainsamacitaw/video/7487103525403561223,3777,Janji Jiwa
1285,produkemakkkkk,0,9,29/03/2025 23.20,106,False,Unknown,Unknown,0,?????? #janjijiwacoffee #sinarengandenicaknanbellabonitacunda #fyb?viral #jogja24jam? ,15,https://www.tiktok.com/@produkemakkkkk/video/7487267097303649554,541,Janji Jiwa
51400,shiii_sa,5,13,24/07/2022 01.01,253,False,Unknown,Palopo,0,Bismillah?? #fypsounds #janjijiwacoffee #palopocity??,8,https://www.tiktok.com/@shiii_sa/video/7123629683731762459,3399,Janji Jiwa
3760,agnisstore_id,0,1,24/06/2025 06.36,10,False,Cirebon,Kopi Janji Jiwa & Jiwa Toast - Raya Ciledug,1,"buat yang lagi cari tongkrongan coffe dikafe nih aku rekomendasikan kesini aja??
bukan hanya coffe aja,ada cemilan lainnya juga, 

#janjijiwa #janjijiwatoast #janjijiwacoffee #janjijiwapromo #janjijiwaciledug #janjijiwacirebon #tiktokgoscoolholiday #tiktokgoschooolholidayfest #tiktokgo #tiktokgoviral #cirebon #cirebontiktok #cirebonpride????? #cirebontimur #cirebonciledug #fyp #fyp? #viral #tranding #trending #support #VoiceEffects ",11,https://www.tiktok.com/@agnisstore_id/video/7519292711300566277,920,Janji Jiwa
3588,lifesuperupdate,2,1,24/05/2025 13.11,12,False,Unknown,Unknown,0,"Cek promo nya di tag lokasi???? kalian buruan,must try?? #janjijiwa #coffe #coffeetiktok #jelajahkuliner #fypage #fyp?? #nongkrong #genz #masukberandafyp #jembertiktok #jemberasik #jemberhitz ",14,https://www.tiktok.com/@lifesuperupdate/video/7507890890178956550,1265,Janji Jiwa
674,ill020202,10,3,17/10/2024 21.16,351,False,Jakarta,WARGA +62,4,#CapCut #fyp??viral #janjijiwacoffee #kopihitam ,15,https://www.tiktok.com/@ill020202/video/7426748271860747525,1878,Janji Jiwa
562,jumhy22,0,0,14/12/2023 10.21,3,False,Unknown,Mamuju Regency,0,#janjijiwacoffee #fyp #mamujukota ,38,https://www.tiktok.com/@jumhy22/video/7312285354990636293,647,Janji Jiwa
2805,wahyuwiddyah,18,0,05/07/2025 23.23,96,False,Kendal,Kopi Janji Jiwa & Jiwa Toast - Soetta Kendal,6,kamu jangan sampe lewatin lho promo spesial dari tiktok. karna promo terbatas. langsung klik tag lokasi sekarang juga untuk dapatin voucher promo tiktok!! ?? #JelajahBegah #promomakanliburan #promomakangajian #promoliburan #janjijiwa #janjijiwatoast #janjijiwacoffee #janjijiwapromo #kopijanjijiwa #kendal #kendalhits #kendaljateng ,15,https://www.tiktok.com/@wahyuwiddyah/video/7523634213585767736,26300,Janji Jiwa
27500,ayangjajan,42,29,24/12/2023 17.27,350,False,Unknown,Unknown,8,Hi Kakak @ndarbum punten aku izin icip icip juga ya???????? #janjijiwa #thaimilkteaarenjelly #thaiteajanjijiwa #janjijiwacoffee #janjijiwanewconcept ,37,https://www.tiktok.com/@ayangjajan/video/7316105923678997765,32000,Janji Jiwa
20200,miryoku.store,14,11,09/04/2025 15.41,112,False,Tegal City,Kopi Janji Jiwa & Jiwa Toast - Pangeran Diponegoro,14,Kopi JanjiJiwa Kota tegal #janjijiwa #coffeshoptegal #ngopiditegal #tiktokgo #cuantanpabatas ,22,https://www.tiktok.com/@miryoku.store/video/7491230838114372869,12800,Janji Jiwa
