authorMeta/fans,authorMeta/name,collectCount,commentCount,createTimeISO,diggCount,isSponsored,locationMeta/locationName,shareCount,text,videoMeta/duration,webVideoUrl,playCount,brand,brand_encoded,day,hour,hour_idn,tanggal,hari_encoded,username_encoded,kota_Ada,kota_Ambon,kota_Bandung City,kota_Bandung Regency,kota_Banggai Regency,kota_Banjarmasin,kota_Banyumas Regency,kota_Batam,kota_Bekasi City,kota_Bekasi Regency,kota_Blora,kota_Bogor Regency,kota_Cianjur,kota_Cilacap,kota_Cilegon,kota_Cimahi,kota_Cirebon,kota_Cirebon City,kota_Deli Serdang Regency,kota_Denpasar City,kota_Depok,kota_East Kotawaringin Regency,kota_Fontana,kota_Fremantle,kota_Gowa Regency,kota_Grand Bay,kota_Grobogan Regency,kota_Irving,kota_Jakarta,kota_Jambi City,kota_Jeddah,kota_Jember,kota_Jepara,kota_Kendal,kota_Kota Karawang,kota_Kuningan,kota_Malang City,kota_Malang Regency,kota_Manado,kota_Mataram,kota_Morowali Regency,kota_Pasuruan Regency,kota_Pekalongan,kota_Pekanbaru,kota_Pemalang,kota_Ponorogo Regency,kota_Purworejo,kota_Samarinda,kota_Sawah Lunto,kota_Semarang City,kota_Semarang Regency,kota_Singapore,kota_Sleman,kota_South Tangerang,kota_Surabaya,kota_Surakarta City,kota_Tagaytay,kota_Tangerang City,kota_Tangerang Regency,kota_Tasikmalaya City,kota_Tegal City,kota_Unknown,kota_Weymouth and Portland,kota_Wonogiri,kota_nan
5959,grenda_01,3,8,2025-06-07 14:23:31+00:00,22,0,Kopi Janji Jiwa & Jiwa Toast - Comal Jend Sudirman,13,"Cuma di tik tok bisa beli lebih murah harganya 
#janjijiwapemalang 
#kopijanjijiwa 
#toastjanjijiwa 
#bestie 
#coffeeshop 
#suksesbersamahurra 
#janjijiwatiktok ",30,https://www.tiktok.com/@grenda_01/video/7513212945296395526,1302,Janji Jiwa,1,Sabtu,14,14,2025-06-07,6,72,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1809,white_beat67,1,0,2023-08-11 17:56:08+00:00,8,0,Temanggung,0,"the quiet temanggung...☕🚬

#motivasihidup #motivasi #coffeeshop #coffeetime
#coffeelovers #katahariini #ceritakehidupan #semangat #temanggung
#katakatamotivasi #nightmotivation
#janjijiwa #katakatabijak
#nightcoffee
#nightmotivation☕️ #kopiindonesia #reelsviral #semangatkerja #weekendvibes #motivasisukses ",40,https://www.tiktok.com/@white_beat67/video/7266125015706373381,508,Janji Jiwa,1,Jumat,17,17,2023-08-11,5,194,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2925,benbenita12,2,2,2025-08-07 12:27:11+00:00,7,0,Kopi Janji Jiwa & Jiwa Toast - Bintaro Sektor 9,1,"SPECIAL hari kemerdekaan Bulan Agustus beli janji jiwa lebih hemat lewat TikTok caranya: 
1. Klik tag lokasi aku
2. Pilih menu kamu
3. Pilih beli lakukan pembayaran
4. Mendapatkan barcode ditukarkan ke kasir

#bintaro #vouchertiktok #promojanjijiwa #janjijiwa #murah #vouchermakanan #viral #janjijiwacoffee #janjijiwatoast #promoagustus #promomakanan #food #jelajahbosslang #bosslang17an #freedomwithbosslang #promomakanmerdeka #promoseruweekend ",20,https://www.tiktok.com/@benbenita12/video/7535819165345615110,528,Janji Jiwa,1,Kamis,12,12,2025-08-07,4,22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2278,kang.review0,10,0,2025-04-08 06:53:37+00:00,100,0,Kopi Janji Jiwa & Jiwa Toast - Raya Ciledug,3,"Cara Biar Dapet Promo nya
- klik kode lokasi di kiri bawah
- Lakukan pembayaran
- Tunjukkan barcode pembayaran pada kasir#janjijiwamurah #janjijiwacoffee #kopijanjijiwa #janjijiwa ",15,https://www.tiktok.com/@kang.review0/video/7490831896113433874,24700,Janji Jiwa,1,Selasa,6,6,2025-04-08,2,98,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
617,dindaspallspill_,3,2,2025-08-04 08:47:16+00:00,30,0,"Kopi Janji Jiwa, Jiwa Toast & Jiwa Tea - Citra 6",3,Sekarang jangan khawatir dompet boncos karna tiap hari beli coffee. Karna dengan beli voucher di tag lokasi bisa lebih hematt 🤩 #janjijiwa #coffee #tigerwonggo ,32,https://www.tiktok.com/@dindaspallspill_/video/7534649223262850360,1545,Janji Jiwa,1,Senin,8,8,2025-08-04,1,46,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12700,petrikcantik,36,0,2025-07-14 05:13:06+00:00,102,0,Kopi Janji Jiwa & Jiwa Toast - Terusan Borobudur Malang,11,"bisa klaim di semua outlet janji jiwa loh, gaskeun sekarang mumpung promonya masih ada caranya klik tag lokasi yuhuu#promotiktok #vouchertiktok #tiktokgoschoolholidayfest #goalscreatorchallange #meago #promomakanliburan #tungtungmakanuntungmea #janjijiwa #janjijiwacoffee #janjijiwatoast ",0,https://www.tiktok.com/@petrikcantik/video/7526801248218025221,27200,Janji Jiwa,1,Senin,5,5,2025-07-14,1,141,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21100,tempat.untuk.pergi,10,6,2025-03-10 19:41:16+00:00,135,0,Kopi Janji Jiwa & Jiwa Toast - Setiabudi,13,"😤JANGAN BELI JANJI JIWA OTS LAGI!😤

Beli harus dari tag lokasi tiktok duluu!! Karena promonya gila gilaan! Kopi hazelnut @Kopi Janji Jiwa jadi cuma ceban doaang!! Gila gilaa! Cus beliii 

📍JANJI JIWA 

#janjijiwa #kopi #coffee #vouchertiktok #promo #JelajahRamadan #jelajahkuliner #jelajahbegah #ttpetualangnewbie #ttpetualangpro #rekomendasi #mauditemenin #fyp ",17,https://www.tiktok.com/@tempat.untuk.pergi/video/7480268238215974149,24900,Janji Jiwa,1,Senin,19,19,2025-03-10,1,178,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58000,racunsiamma,3,0,2025-08-07 06:09:16+00:00,24,0,Kopi Janji Jiwa & Jiwa Toast - Thee Matic Mall,0,#jelajahbegahmula #tiktokgo #janjijiwa #janjijiwacoffee #viral #hazelnut #coffee ,15,https://www.tiktok.com/@racunsiamma/video/7535721768607173893,1335,Janji Jiwa,1,Kamis,6,6,2025-08-07,4,151,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7226,alitiashop,3,0,2025-08-06 01:48:52+00:00,13,0,Kopi Janji Jiwa & Jiwa Toast - Citra 2,0,"kapan lagi, langsung otw 🛵
#janjijiwa #janjijiwacoffee #promojanjijiwa #tiktokvoucher ",10,https://www.tiktok.com/@alitiashop/video/7535283536669068560,1465,Janji Jiwa,1,Rabu,1,1,2025-08-06,3,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4857,diannuurmala,10,4,2025-05-06 23:56:37+00:00,84,0,Kopi Janji Jiwa & Jiwa Toast - Ruko Pasirkuda,6,"Beli 2cup kopi janji jiwa cuma 20ribuan😭 kapan lagi sih mending segera beli vouchernya.

#JelajahHepi #jelajahbegah #promomakangajian #promogajian #promotiktok #promojanjijiwa #janjijiwa #kopijanjijiwa #ngopi #coffee #coffeetiktok ",18,https://www.tiktok.com/@diannuurmala/video/7501485893010705671,20300,Janji Jiwa,1,Selasa,23,23,2025-05-06,2,44,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42700,leoo_kucing,4,0,2025-06-15 12:26:42+00:00,38,0,Kopi Janji Jiwa & Jiwa Toast - Rita Supermall,2,Beli lewat lokasi yang aku kasih dapet banyak promonya makanya cuss buruan nih keburu promonya abiss #fyp #viral #foryou #foryoupage #purwokerto #janjijiwacoffee #janjijiwa ,14,https://www.tiktok.com/@leoo_kucing/video/7516151519301930246,10800,Janji Jiwa,1,Minggu,12,12,2025-06-15,7,109,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1092,donysalena11,0,0,2025-05-20 05:59:48+00:00,2,0,Kopi Janji Jiwa & Jiwa Toast - Raya Hankam,0,"Santai dulu yukk, 

Sambil antri pertamax dibalikpapan 
#fyp #janjijiwa #kopi #coffee #bekasi #rayahankam  #ngopi #tiktok #tiktokgo #afiliate ",10,https://www.tiktok.com/@donysalena11/video/7506403606321564946,902,Janji Jiwa,1,Selasa,5,5,2025-05-20,2,47,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45600,kevinsikokobandung,30,6,2025-01-26 02:25:29+00:00,543,0,Kopi Janji Jiwa & Jiwa Toast - Ruko Icon BSD,14,"HAYOOO KALIAN LAGI PADA GAJIAN YA?!! COBAIN NONGKRONG DI KOPI JANJI JIWA AJA!! START MENU NYA CUMA DARI 10 RIBUAN AJA LOH!! 
JANGAN LUPA JUGA, BELI NYA DARI VIDEO KOKO AJA YA!! HEHE
CARANYA CUKUP KLIK LINK TAG LOCATION WARNA HIJAU DARI VIDEO KOKO! JANGAN SAMPE KELEWAT YA!!!

#janjijiwa #kopijanjijiwa #toastjanjijiwa #kopisusu #coffee #noncoffee #jelajahgajian #jelajahbegah #ttpetualangnewbie #promojanjijiwa #diskonjanjijiwa #kopi #janjijiwacoffee #janjijiwapromo ",16,https://www.tiktok.com/@kevinsikokobandung/video/7464044659627609349,55700,Janji Jiwa,1,Minggu,2,2,2025-01-26,7,103,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2042,dewi_case,6,4,2025-06-27 08:02:22+00:00,113,0,Kopi Janji Jiwa & Jiwa Toast - Ruko Cipanas,2,"sama temen.. pasangan atau... 
asal jangan suami orang 😜
tag lokasi buat dapet in diskon nya 
#masukberandafypシ #4U #janjijiwacoffee #cipanas ",0,https://www.tiktok.com/@dewi_case/video/7520536413339716920,7371,Janji Jiwa,1,Jumat,8,8,2025-06-27,5,43,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6283,ignangilawane,13,4,2025-07-07 13:13:55+00:00,136,0,Kopi Janji Jiwa & Jiwa Toast - Kanna Stay,11,"Cuma 50rb sudah bisa dapat menu sebanyak ini di Janji Jiwa 🤫

#tiktokgoschoolhollydayfest #janjijiwa #jajanantiktok #jajananviral #jajanmurah #janjijiwacoffee #fyp #fypシ ",28,https://www.tiktok.com/@ignangilawane/video/7524327558570282245,9531,Janji Jiwa,1,Senin,13,13,2025-07-07,1,78,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3437,nyaicuan08,1,0,2025-05-18 02:37:30+00:00,4,0,Kopi Janji Jiwa & Jiwa Toast - Transmart Pekalongan,0,"ngopi dulu yuk, di kopi janji jiwa transmart pekalongan
#kopijanjijiwa 
#janjijiwa 
#janjijiwacoffee 
#jelajahhepi ",31,https://www.tiktok.com/@nyaicuan08/video/7505609298337139975,456,Janji Jiwa,1,Minggu,2,2,2025-05-18,7,133,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1180,lestari_ruslan,0,0,2025-07-27 07:21:06+00:00,10,0,Kopi Janji Jiwa & Jiwa Toast - Ruko Mayjen Soetoyo Purworejo,0,#janjijiwa #alunalunpurworejo #coffe ,22,https://www.tiktok.com/@lestari_ruslan/video/7531658349264260370,506,Janji Jiwa,1,Minggu,7,7,2025-07-27,7,110,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22800,yud.explore,7,1,2025-04-06 02:34:52+00:00,94,0,Kopi Janji Jiwa & Jiwa Toast - Apartemen Laguna,0,#janjijiwacoffee #janjijiwa ,21,https://www.tiktok.com/@yud.explore/video/7490023048133741831,5106,Janji Jiwa,1,Minggu,2,2,2025-04-06,7,197,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
